farmid,flockid,cycle,weekid,week,nb_chicken,feed_intake_kg_bird_week,Weight_kg_bird_week,kg_total_chicken,no_feed,code,feedname,company,form,stage,species,no_anti,option,no_option,option_order,anti_name,concentration,amount_anti_mg/kg/week
75-001,75-001_1,1,75-001_1_1,1,210,0.077,0.05,10.5,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_1,1,75-001_1_2,2,207,0.139,0.09,18.63,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_1,1,75-001_1_3,3,207,0.193,0.25,51.75,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_1,1,75-001_1_4,4,206,0.246,0.43,88.58,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_1,1,75-001_1_5,5,206,0.293,0.53,109.18,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.528301887
75-001,75-001_1,1,75-001_1_6,6,206,0.309,0.63,129.78,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_1,1,75-001_1_7,7,204,0.319,0.69,140.76,1,FE003,COMFEED 623,JAPFA,P,Finishing,Chicken,0,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_8,8,204,0.347,0.74,150.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_9,9,202,0.374,0.83,167.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_10,10,202,0.402,0.91,183.82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_11,11,196,0.423,1,196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_12,12,196,0.444,1.14,223.44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_13,13,196,0.464,1.32,258.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_14,14,182,0.485,1.4,254.8,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.464285714
75-001,75-001_1,1,75-001_1_15,15,175,0.513,1.42,248.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_16,16,162,0.534,1.51,244.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_17,17,157,0.547,1.56,244.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_18,18,157,0.561,1.6,251.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_19,19,146,0.568,1.69,246.74,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.360946746
75-001,75-001_1,1,75-001_1_20,20,140,0.589,1.77,247.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_21,21,140,0.658,1.81,253.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_22,22,130,0.728,1.86,241.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
